date,station,user_type,age,trip_duration_min,temperature_c,humidity_pct,wind_speed_kmh,weather,daily_station_trips,satisfaction_score
2024-01-01,Shopping Mall,subscriber,28.0,9.0,-3.1,52.3,10.8,cloudy,29,3.0
2024-01-01,Tech Campus,subscriber,45.0,7.6,-2.7,,7.6,sunny,44,3.0
2024-01-01,Riverside,subscriber,31.0,13.6,1.1,61.5,13.1,snowy,14,3.0
2024-01-01,University,casual,28.0,10.1,-2.0,67.5,10.4,rainy,25,3.0
2024-01-02,Tech Campus,subscriber,17.0,27.1,-0.8,46.9,0.1,cloudy,27,4.0
2024-01-02,City Park,casual,44.0,9.7,-3.2,67.2,3.6,sunny,40,
2024-01-02,Sports Arena,casual,16.0,11.5,-1.7,59.2,16.2,cloudy,34,4.0
2024-01-04,Old Town,subscriber,,13.2,0.1,61.8,13.0,cloudy,33,3.0
2024-01-04,Shopping Mall,subscriber,41.0,32.7,-9.7,51.4,3.3,sunny,54,4.0
2024-01-05,Riverside,student,,12.2,-3.4,62.8,16.7,rainy,19,3.0
2024-01-05,Tech Campus,student,24.0,12.4,1.5,50.8,20.1,rainy,19,3.0
2024-01-05,Sports Arena,casual,38.0,12.3,-2.2,71.7,18.4,cloudy,27,4.0
2024-01-05,Sports Arena,student,20.0,11.7,5.8,71.6,19.4,snowy,16,3.0
2024-01-06,Central Station,subscriber,32.0,19.3,-2.4,64.8,19.7,cloudy,47,5.0
2024-01-06,Shopping Mall,subscriber,33.0,25.6,-0.5,63.1,17.9,rainy,21,3.0
2024-01-07,Central Station,casual,36.0,40.7,-3.8,72.6,13.7,rainy,25,2.0
2024-01-08,Shopping Mall,subscriber,34.0,15.0,-0.9,62.7,20.0,sunny,42,4.0
2024-01-09,Hospital,casual,23.0,31.0,4.0,,,rainy,25,
2024-01-09,Sports Arena,subscriber,35.0,7.5,-5.1,55.0,9.7,cloudy,42,3.0
2024-01-09,Sports Arena,student,17.0,6.3,-4.4,,17.3,sunny,44,3.0
2024-01-10,Hospital,student,24.0,15.4,0.5,67.0,6.9,sunny,46,
2024-01-10,Sports Arena,subscriber,50.0,24.4,-0.1,49.7,,sunny,42,3.0
2024-01-12,City Park,subscriber,42.0,29.9,2.2,65.6,6.3,sunny,43,4.0
2024-01-12,Sports Arena,casual,41.0,18.7,-1.8,54.3,0.6,sunny,52,3.0
2024-01-13,Shopping Mall,casual,27.0,40.4,-4.2,68.5,5.4,cloudy,37,3.0
2024-01-13,Old Town,student,20.0,11.6,-3.5,45.3,,snowy,10,
2024-01-13,City Park,casual,36.0,16.1,-3.5,,15.2,rainy,21,4.0
2024-01-14,Sports Arena,subscriber,,18.1,-0.4,51.4,13.1,rainy,15,3.0
2024-01-14,Sports Arena,casual,19.0,12.8,-0.4,,11.2,snowy,13,3.0
2024-01-15,University,student,26.0,17.1,-6.9,65.0,19.1,snowy,11,4.0
2024-01-15,Tech Campus,student,22.0,49.8,-0.5,54.1,3.5,cloudy,42,
2024-01-16,City Park,subscriber,30.0,16.1,-3.1,68.4,13.6,cloudy,39,4.0
2024-01-17,Sports Arena,student,24.0,18.2,0.4,63.9,7.0,rainy,19,3.0
2024-01-18,Riverside,subscriber,36.0,17.3,0.2,65.5,13.6,cloudy,28,4.0
2024-01-19,Shopping Mall,student,22.0,22.7,0.7,60.4,9.8,sunny,33,4.0
2024-01-19,Central Station,casual,18.0,13.7,5.4,41.1,7.3,sunny,47,
2024-01-20,Old Town,subscriber,45.0,12.9,-1.4,77.6,2.3,rainy,19,3.0
2024-01-20,Hospital,casual,16.0,4.1,-2.4,43.4,19.0,sunny,43,3.0
2024-01-21,Riverside,subscriber,27.0,8.4,4.4,60.4,18.2,cloudy,37,3.0
